,power_SO,power_SO_relative,power_delta,power_delta_relative,power_sigma,power_sigma_relative,maxi,idx_maxi,mini,idx_mini,slope_positive,second_maxi,idx_second_maxi,slope_negative,num_of_zc_min_max,num_of_zc_max_min,kurtosis,skewness,KC
260,25.44,0.036,574.467,0.808,20.097,0.028,9.592,231,-81.72,195,2.536,35.981,159,-3.269,3,1,1.31,-0.68,no
261,177.718,0.258,172.114,0.25,27.35,0.04,10.872,238,-69.892,198,2.019,-6.78,153,-1.402,3,0,-0.233,0.238,no
262,165.928,0.07,1811.301,0.761,31.399,0.013,92.273,244,-81.781,181,2.763,55.921,148,-4.173,1,1,-0.35,-0.365,no
263,22.254,0.024,707.018,0.77,82.182,0.09,31.667,234,-75.498,199,3.062,47.174,172,-4.543,1,1,2.096,-0.895,no
264,154.15,0.368,85.204,0.203,9.206,0.022,4.883,249,-43.374,161,0.548,-4.666,123,-1.019,1,0,-0.493,-0.338,no
265,45.807,0.188,70.233,0.288,12.901,0.053,-10.462,218,-31.711,152,0.322,-8.898,108,-0.518,0,0,-0.531,-0.034,no
266,56.608,0.282,40.455,0.202,9.723,0.048,5.522,249,-41.255,188,0.767,-15.303,155,-0.786,3,0,1.714,0.827,no
267,90.097,0.08,865.798,0.769,58.426,0.052,18.735,242,-56.67,199,1.754,62.183,169,-3.962,3,1,-0.213,-0.108,no
268,969.92,0.409,532.516,0.225,31.531,0.013,11.677,249,-85.162,199,1.937,-39.899,149,-0.905,1,0,-0.714,-0.599,no
269,1219.93,0.388,775.918,0.247,31.84,0.01,-58.002,228,-106.797,184,1.109,-5.366,152,-3.17,0,0,-0.816,-0.348,no
270,574.002,0.369,705.048,0.453,33.682,0.022,37.598,239,-66.443,183,1.858,39.388,152,-3.414,1,1,0.268,-0.721,no
271,750.77,0.47,290.038,0.182,36.138,0.023,10.812,249,-67.366,150,0.79,-3.907,113,-1.715,1,0,-1.212,0.076,no
272,1193.156,0.463,344.81,0.134,15.952,0.006,0.697,248,-85.748,184,1.351,-43.0,134,-0.855,1,0,-0.934,-0.452,no
273,261.817,0.368,82.682,0.116,11.732,0.016,-20.336,221,-57.568,163,0.642,-7.327,119,-1.142,0,0,-0.819,0.097,no
274,1648.154,0.424,354.429,0.091,20.614,0.005,-36.813,249,-117.46,170,1.021,-45.603,120,-1.437,0,0,-1.368,-0.337,no
275,313.35,0.301,116.738,0.112,8.457,0.008,-27.901,244,-73.973,196,0.96,-23.635,163,-1.525,0,0,-1.042,0.418,no
276,4004.38,0.387,536.003,0.052,208.088,0.02,-120.017,247,-208.988,191,1.589,-82.857,149,-3.003,0,0,-0.808,0.273,no
277,2207.922,0.438,1575.563,0.312,31.18,0.006,31.881,249,-123.902,166,1.877,23.907,125,-3.605,1,1,-0.077,-1.109,no
